,Address,AvgCost2,City,Cuisines,Lat,Locality,Long,PriceRange,RatingAvg,RatingColor,RatingTxt,RestID,RestName,Timings,URL,ZipCode,cityID
79,"16 N San Francisco ST, Flagstaff 86001",40,Flagstaff,Latin American,35.1977330000,Flagstaff,-111.6476550000,3,3.8,9ACD32,Good,17357533,Criollo Latin Kitchen,"11 AM to 9 PM (Mon-Thu), 11 AM to 10 PM (Fri), 9 AM to 10 PM (Sat), 9 AM to 9 PM (Sun)",https://www.zomato.com/flagstaff-az/criollo-latin-kitchen-flagstaff?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,86001,469
80,2200 East Butler Avenue. 86004,25,Flagstaff,"American, Southwestern",35.1922200000,Flagstaff,-111.6242700000,2,3.8,9ACD32,Good,17357593,The Northern Pines Restaurant,5:30 AM to 10 PM,https://www.zomato.com/flagstaff-az/the-northern-pines-restaurant-flagstaff?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,86004,469
81,"800 N Beeline Hwy, Payson 85541",10,Payson,Mexican,34.2503550000,Payson,-111.3227780000,1,3.9,9ACD32,Good,17282877,La Sierra Mexican Restaurant,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",https://www.zomato.com/payson-az/la-sierra-mexican-restaurant-payson?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85541,4376
82,"512 N Beeline Hwy, Payson 85541",40,Payson,"Italian, Pizza",34.2452550000,Payson,-111.3229690000,3,4.6,3F7E00,Excellent,17282880,Gerardo's Firewood Cafe,"Closed (Mon),3 PM to 9 PM (Tue),11 AM to 9 PM (Wed-Sat),12 Noon to 8 PM (Sun)",https://www.zomato.com/payson-az/gerardos-firewood-cafe-payson?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85541,4376
83,"311 S Beeline Hwy, Payson 85541",25,Payson,"Burger, Steak, Bar Food",34.2383410000,Payson,-111.3229000000,2,4.5,3F7E00,Excellent,17282872,Buffalo Bar & Grill,10 AM to 2 AM (Mon-Sun),https://www.zomato.com/payson-az/buffalo-bar-grill-payson?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85541,4376
84,"201 W Main Street, Payson 85541",10,Payson,"Coffee and Tea, Desserts, Beverages",34.2476540000,Payson,-111.3228650000,1,4.3,5BA829,Very Good,17282918,Scoops,"Breakfast, Lunch, Dinner (Sun, Mon, Tue, Wed, Thu), Breakfast, Lunch, Dinner, Late (Fri-Sat)",https://www.zomato.com/payson-az/scoops-payson?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85541,4376
85,"620 E State Highway 260, Payson 85541",40,Payson,"American, Seafood, Steak",34.2413000000,Payson,-111.3150000000,3,4.2,5BA829,Very Good,17282270,Fargo's Steak House,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",https://www.zomato.com/payson-az/fargos-steak-house-payson?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85541,4376
86,"815 S Beeline Hwy, Payson 85541",0,Payson,,34.2302000000,Payson,-111.3255000000,1,3.8,9ACD32,Good,17282257,Beeline Cafe,"Breakfast, Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",https://www.zomato.com/payson-az/beeline-cafe-payson?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85541,4376
87,"200 S Beeline Hwy, Payson 85541",10,Payson,Mexican,34.2404000000,Payson,-111.3232000000,1,3.4,CDD614,Average,17282268,El Rancho Restaurant,"Breakfast, Lunch, Dinner (Sun, Sat), Lunch, Dinner (Mon-Fri)",https://www.zomato.com/payson-az/el-rancho-restaurant-payson?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85541,4376
88,"E State Hwy 260, Star Valley 85541",40,Payson,"Seafood, Steak",34.2277000000,Payson,-111.3318000000,3,4.3,5BA829,Very Good,17282618,Diamond Point Shadows Restaurant,,https://www.zomato.com/payson-az/diamond-point-shadows-restaurant-star-valley?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85541,4376
